Wall time,Step,Value
1715563908.149379,0,0.8347433805465698
1715563908.906203,1,0.7518033981323242
1715563909.606976,2,0.7246615290641785
1715563910.259407,3,0.7120281457901001
1715563910.969491,4,0.688991129398346
1715563911.649123,5,0.6758636236190796
1715563912.329805,6,0.638067901134491
1715563912.992905,7,0.6028673648834229
1715563913.680213,8,0.6096832156181335
1715563914.3594,9,0.5845681428909302
1715563915.080244,10,0.5485882759094238
1715563915.786123,11,0.534756064414978
1715563916.488009,12,0.5088516473770142
1715563917.202797,13,0.49137452244758606
1715563918.022833,14,0.4712761640548706
1715563919.099167,15,0.5095378756523132
1715563920.159179,16,0.48856639862060547
1715563921.24915,17,0.45886942744255066
1715563922.349112,18,0.44898781180381775
1715563923.141501,19,0.43713024258613586
1715563923.841423,20,0.4324432909488678
1715563924.566349,21,0.43571045994758606
1715563925.295324,22,0.4165315330028534
1715563925.974022,23,0.41673871874809265
1715563926.695223,24,0.39310240745544434
1715563927.382836,25,0.4370311200618744
1715563928.086828,26,0.43528735637664795
1715563928.78486,27,0.42509570717811584
1715563929.507936,28,0.4072302579879761
1715563930.221467,29,0.4071792662143707
1715563930.925377,30,0.38404783606529236
1715563931.665346,31,0.3791920244693756
1715563932.370783,32,0.3660164475440979
1715563933.373549,33,0.36853155493736267
1715563934.394782,34,0.36936041712760925
1715563935.454186,35,0.3851119875907898
1715563936.58587,36,0.4003494381904602
1715563937.540409,37,0.3807125687599182
1715563938.265862,38,0.3709239065647125
1715563938.952473,39,0.37390369176864624
1715563939.68398,40,0.38262689113616943
1715563940.387953,41,0.35685059428215027
1715563941.099471,42,0.34147050976753235
1715563941.772072,43,0.3547631502151489
1715563942.488835,44,0.3399752974510193
1715563943.175666,45,0.3744245171546936
1715563943.871987,46,0.37651005387306213
1715563944.582145,47,0.36300840973854065
1715563945.276151,48,0.333037793636322
1715563946.000784,49,0.35497725009918213
1715563946.728402,50,0.34061399102211
1715563947.557398,51,0.3380991220474243
1715563948.637347,52,0.34054282307624817
1715563949.723414,53,0.33315905928611755
1715563950.883202,54,0.370781809091568
1715563951.850231,55,0.3347948491573334
1715563952.551786,56,0.3225485682487488
1715563953.2833,57,0.3288145959377289
1715563953.997132,58,0.33404380083084106
1715563954.758094,59,0.3215453028678894
1715563955.468559,60,0.31450971961021423
1715563956.160807,61,0.33441653847694397
1715563956.885393,62,0.37600165605545044
1715563957.61003,63,0.3181261718273163
1715563958.313231,64,0.3131738603115082
1715563959.020835,65,0.3071761429309845
1715563959.734007,66,0.31807759404182434
1715563960.469818,67,0.3250696361064911
1715563961.193952,68,0.30730846524238586
1715563962.096035,69,0.30317094922065735
1715563963.14036,70,0.3279898166656494
1715563964.206186,71,0.37391969561576843
1715563965.276121,72,0.3560742437839508
1715563966.417921,73,0.3264700770378113
1715563967.214283,74,0.32003670930862427
