Wall time,Step,Value
1715563908.150071,0,0.913642942905426
1715563908.906937,1,0.867065966129303
1715563909.607582,2,0.8512704968452454
1715563910.260047,3,0.8438176512718201
1715563910.970337,4,0.8300549387931824
1715563911.649792,5,0.8221092820167542
1715563912.330512,6,0.7987914681434631
1715563912.993616,7,0.7764453887939453
1715563913.680919,8,0.7808221578598022
1715563914.360071,9,0.7645705342292786
1715563915.081081,10,0.7406675219535828
1715563915.786794,11,0.7312701940536499
1715563916.488832,12,0.7133383750915527
1715563917.203518,13,0.7009811401367188
1715563918.023976,14,0.6864955425262451
1715563919.100097,15,0.7138192057609558
1715563920.160113,16,0.6989752054214478
1715563921.250143,17,0.6773990392684937
1715563922.350207,18,0.6700655221939087
1715563923.142338,19,0.6611582040786743
1715563923.842146,20,0.6576042175292969
1715563924.566967,21,0.6600836515426636
1715563925.296049,22,0.6453925967216492
1715563925.974653,23,0.6455530524253845
1715563926.695903,24,0.6269787549972534
1715563927.383446,25,0.6610833406448364
1715563928.087741,26,0.6597630381584167
1715563928.78572,27,0.6519936919212341
1715563929.508804,28,0.6381459832191467
1715563930.222228,29,0.6381059885025024
1715563930.926055,30,0.6197159290313721
1715563931.666123,31,0.6157857179641724
1715563932.371501,32,0.6049929261207581
1715563933.374383,33,0.6070680022239685
1715563934.396525,34,0.6077502965927124
1715563935.455522,35,0.620573878288269
1715563936.587499,36,0.6327316761016846
1715563937.541273,37,0.6170190572738647
1715563938.266448,38,0.6090352535247803
1715563938.953119,39,0.6114766001701355
1715563939.684858,40,0.6185684204101562
1715563940.388624,41,0.5973697304725647
1715563941.100213,42,0.584354817867279
1715563941.772677,43,0.5956199169158936
1715563942.489518,44,0.5830739736557007
1715563943.176337,45,0.6119023561477661
1715563943.872757,46,0.6136041879653931
1715563944.582737,47,0.6025018095970154
1715563945.276804,48,0.5770942568778992
1715563946.001716,49,0.5957996249198914
1715563946.729178,50,0.5836214423179626
1715563947.560572,51,0.5814629197120667
1715563948.638399,52,0.5835604667663574
1715563949.724853,53,0.5771993398666382
1715563950.884305,54,0.6089185476303101
1715563951.851066,55,0.5786146521568298
1715563952.552926,56,0.5679336190223694
1715563953.284398,57,0.5734235644340515
1715563953.9978,58,0.5779651999473572
1715563954.758822,59,0.5670496225357056
1715563955.469329,60,0.5608116388320923
1715563956.161416,61,0.5782876014709473
1715563956.8863,62,0.613189697265625
1715563957.610903,63,0.5640267729759216
1715563958.313961,64,0.5596193671226501
1715563959.021871,65,0.5542347431182861
1715563959.735026,66,0.563983678817749
1715563960.470514,67,0.570148766040802
1715563961.194823,68,0.5543540716171265
1715563962.096967,69,0.5506095886230469
1715563963.141274,70,0.5727039575576782
1715563964.207222,71,0.6114897131919861
1715563965.277781,72,0.5967195630073547
1715563966.419269,73,0.5713756084442139
1715563967.214907,74,0.565717875957489
