value,cumulative_avg,xtick
11.843874999999997,11.84,150
16.354923076923075,14.1,151
16.354923076923075,14.85,152
16.354923076923075,15.23,153
10.606090909090911,14.3,154
10.606090909090911,13.69,155
10.606090909090911,13.25,156
11.6172,13.04,157
11.6172,12.88,158
11.6172,12.76,159
7.5024736842105275,12.28,160
7.5024736842105275,11.88,161
7.5024736842105275,11.55,162
13.013937500000003,11.65,163
13.013937500000003,11.74,164
13.013937500000003,11.82,165
13.032375000000002,11.89,166
13.032375000000002,11.96,167
13.032375000000002,12.01,168
13.453315789473686,12.08,169
13.453315789473686,12.15,170
13.453315789473686,12.21,171
8.921076923076921,12.07,172
8.921076923076921,11.93,173
8.921076923076921,11.81,174
6.736956521739131,11.62,175
6.736956521739131,11.44,176
6.736956521739131,11.27,177
6.135115384615385,11.09,178
6.135115384615385,10.93,179
6.135115384615385,10.77,180
5.338500000000001,10.6,181
5.338500000000001,10.44,182
5.338500000000001,10.29,183
4.588181818181818,10.13,184
4.588181818181818,9.98,185
4.588181818181818,9.83,186
4.8715,9.7,187
4.8715,9.58,188
4.8715,9.46,189
4.882619047619047,9.35,190
4.882619047619047,9.24,191
4.882619047619047,9.14,192
2.5030769230769234,8.99,193
2.5030769230769234,8.84,194
2.5030769230769234,8.71,195
2.651642857142857,8.58,196
2.651642857142857,8.45,197
2.651642857142857,8.34,198
12.122363636363637,8.41,199
12.122363636363637,8.48,200
12.122363636363637,8.55,201
7.511099999999999,8.53,202
7.511099999999999,8.52,203
7.511099999999999,8.5,204
9.699,8.52,205
9.699,8.54,206
9.699,8.56,207
7.2471904761904735,8.54,208
7.2471904761904735,8.52,209
7.2471904761904735,8.5,210
2.2743750000000005,8.39,211
2.2743750000000005,8.3,212
2.2743750000000005,8.2,213
2.2286666666666664,8.11,214
2.2286666666666664,8.02,215
2.2286666666666664,7.94,216
2.2632142857142856,7.85,217
2.2632142857142856,7.77,218
2.2632142857142856,7.69,219
1.9880624999999998,7.61,220
1.9880624999999998,7.53,221
1.9880624999999998,7.46,222
9.412153846153846,7.48,223
9.412153846153846,7.51,224
9.412153846153846,7.54,225
6.369739130434783,7.52,226
6.369739130434783,7.51,227
6.369739130434783,7.49,228
10.580000000000004,7.53,229
10.580000000000004,7.57,230
10.580000000000004,7.6,231
9.47503846153846,7.63,232
9.47503846153846,7.65,233
9.47503846153846,7.67,234
7.098684210526314,7.66,235
7.098684210526314,7.66,236
7.098684210526314,7.65,237
6.871399999999999,7.64,238
6.871399999999999,7.63,239
6.871399999999999,7.63,240
3.2605,7.58,241
3.2605,7.53,242
3.2605,7.49,243
3.406230769230769,7.44,244
3.406230769230769,7.4,245
3.406230769230769,7.36,246
4.565416666666667,7.33,247
4.565416666666667,7.3,248
4.565416666666667,7.28,249
3.2598399999999996,7.24,250
3.2598399999999996,7.2,251
3.2598399999999996,7.16,252
2.7854166666666664,7.12,253
2.7854166666666664,7.08,254
2.7854166666666664,7.04,255
2.618851851851852,6.99,256
2.618851851851852,6.95,257
2.618851851851852,6.91,258
2.4921666666666664,6.87,259
2.4921666666666664,6.83,260
2.4921666666666664,6.8,261
2.565833333333333,6.76,262
2.565833333333333,6.72,263
2.565833333333333,6.68,264
2.466333333333333,6.65,265
2.466333333333333,6.61,266
2.466333333333333,6.58,267
2.544761904761905,6.54,268
2.544761904761905,6.51,269
2.544761904761905,6.48,270
2.7041874999999997,6.45,271
2.7041874999999997,6.42,272
2.7041874999999997,6.39,273
7.971399999999998,6.4,274
7.971399999999998,6.41,275
7.971399999999998,6.42,276
9.465933333333332,6.45,277
9.465933333333332,6.47,278
9.465933333333332,6.49,279
8.109526315789473,6.51,280
8.109526315789473,6.52,281
8.109526315789473,6.53,282
2.7694666666666667,6.5,283
2.7694666666666667,6.47,284
2.7694666666666667,6.45,285
4.005454545454545,6.43,286
4.005454545454545,6.41,287
4.005454545454545,6.39,288
3.7699523809523807,6.38,289
3.7699523809523807,6.36,290
3.7699523809523807,6.34,291
3.06075,6.32,292
3.06075,6.29,293
3.06075,6.27,294
2.3716666666666666,6.24,295
2.3716666666666666,6.22,296
2.3716666666666666,6.19,297
2.52985294117647,6.17,298
2.52985294117647,6.14,299
2.52985294117647,6.12,300
2.419310344827586,6.1,301
2.419310344827586,6.07,302
2.419310344827586,6.05,303
2.201677419354838,6.02,304
2.201677419354838,6.0,305
2.201677419354838,5.97,306
2.370233333333333,5.95,307
2.370233333333333,5.93,308
2.370233333333333,5.91,309
25.552777777777788,6.03,310
25.552777777777788,6.15,311
25.552777777777788,6.27,312
25.6973888888889,6.39,313
25.6973888888889,6.5,314
25.6973888888889,6.62,315
33.88019512195122,6.78,316
33.88019512195122,6.94,317
33.88019512195122,7.1,318
13.475780487804876,7.14,319
13.475780487804876,7.18,320
13.475780487804876,7.21,321
51.58621428571426,7.47,322
51.58621428571426,7.72,323
51.58621428571426,7.97,324
46.515403508771925,8.19,325
46.515403508771925,8.41,326
46.515403508771925,8.62,327
62.83649206349206,8.93,328
62.83649206349206,9.23,329
62.83649206349206,9.52,330
40.14408695652171,9.69,331
40.14408695652171,9.86,332
40.14408695652171,10.02,333
73.31913483146067,10.36,334
73.31913483146067,10.7,335
73.31913483146067,11.04,336
77.63774468085106,11.39,337
77.63774468085106,11.74,338
77.63774468085106,12.09,339
81.08873913043479,12.45,340
81.08873913043479,12.81,341
81.08873913043479,13.16,342
47.77262999999997,13.34,343
47.77262999999997,13.52,344
47.77262999999997,13.69,345
104.21769473684209,14.15,346
104.21769473684209,14.61,347
104.21769473684209,15.06,348
115.05385000000003,15.56,349
115.05385000000003,16.05,350
115.05385000000003,16.54,351
165.92657000000005,17.28,352
165.92657000000005,18.01,353
165.92657000000005,18.73,354
122.01317999999999,19.23,355
122.01317999999999,19.73,356
122.01317999999999,20.22,357
129.34694949494948,20.74,358
129.34694949494948,21.26,359
129.34694949494948,21.77,360
122.93043956043958,22.25,361
122.93043956043958,22.72,362
122.93043956043958,23.19,363
72.83331325301207,23.42,364
72.83331325301207,23.65,365
72.83331325301207,23.87,366
69.51146575342463,24.08,367
69.51146575342463,24.29,368
69.51146575342463,24.5,369
55.70965000000001,24.64,370
55.70965000000001,24.78,371
55.70965000000001,24.92,372
57.71382500000002,25.06,373
57.71382500000002,25.21,374
57.71382500000002,25.35,375
41.426868131868126,25.42,376
41.426868131868126,25.49,377
41.426868131868126,25.56,378
44.611358024691356,25.64,379
44.611358024691356,25.73,380
44.611358024691356,25.81,381
39.25249999999998,25.87,382
39.25249999999998,25.92,383
39.25249999999998,25.98,384
57.652272727272724,26.11,385
57.652272727272724,26.25,386
57.652272727272724,26.38,387
48.71765333333333,26.47,388
48.71765333333333,26.56,389
48.71765333333333,26.66,390
49.3501875,26.75,391
49.3501875,26.84,392
49.3501875,26.94,393
28.42595833333333,26.94,394
28.42595833333333,26.95,395
28.42595833333333,26.95,396
18.637558823529417,26.92,397
18.637558823529417,26.89,398
18.637558823529417,26.85,399
8.388441176470588,26.78,400
8.388441176470588,26.71,401
8.388441176470588,26.64,402
15.980468749999998,26.59,403
15.980468749999998,26.55,404
15.980468749999998,26.51,405
16.703029411764703,26.47,406
16.703029411764703,26.43,407
16.703029411764703,26.4,408
18.488000000000003,26.37,409
18.488000000000003,26.34,410
18.488000000000003,26.31,411
7.961486486486489,26.24,412
7.961486486486489,26.17,413
7.961486486486489,26.1,414
11.792933333333332,26.04,415
11.792933333333332,25.99,416
11.792933333333332,25.94,417
6.366837837837838,25.87,418
6.366837837837838,25.79,419
6.366837837837838,25.72,420
11.73896153846154,25.67,421
11.73896153846154,25.62,422
11.73896153846154,25.57,423
9.062441860465112,25.51,424
9.062441860465112,25.45,425
9.062441860465112,25.39,426
6.7450857142857155,25.32,427
6.7450857142857155,25.26,428
6.7450857142857155,25.19,429
7.349285714285714,25.13,430
7.349285714285714,25.06,431
7.349285714285714,25.0,432
13.08645238095238,24.96,433
13.08645238095238,24.92,434
13.08645238095238,24.88,435
21.63178181818181,24.86,436
21.63178181818181,24.85,437
21.63178181818181,24.84,438
29.872339999999998,24.86,439
29.872339999999998,24.88,440
29.872339999999998,24.89,441
34.501088235294134,24.93,442
34.501088235294134,24.96,443
34.501088235294134,24.99,444
35.827436363636366,25.03,445
35.827436363636366,25.06,446
35.827436363636366,25.1,447
53.736932432432425,25.2,448
53.736932432432425,25.29,449
53.736932432432425,25.39,450
62.997203703703704,25.51,451
62.997203703703704,25.63,452
62.997203703703704,25.76,453
56.02913235294118,25.86,454
56.02913235294118,25.96,455
56.02913235294118,26.05,456
58.89778431372548,26.16,457
58.89778431372548,26.27,458
58.89778431372548,26.37,459
24.093474576271174,26.36,460
24.093474576271174,26.36,461
24.093474576271174,26.35,462
21.871886363636357,26.33,463
21.871886363636357,26.32,464
21.871886363636357,26.31,465
6.847549019607845,26.25,466
6.847549019607845,26.18,467
6.847549019607845,26.12,468
5.268815789473684,26.06,469
5.268815789473684,25.99,470
5.268815789473684,25.93,471
4.725972972972973,25.86,472
4.725972972972973,25.8,473
4.725972972972973,25.73,474
5.360666666666667,25.67,475
5.360666666666667,25.61,476
5.360666666666667,25.55,477
8.80611627906977,25.5,478
8.80611627906977,25.45,479
8.80611627906977,25.4,480
9.71597142857143,25.35,481
9.71597142857143,25.3,482
9.71597142857143,25.25,483
6.964044444444446,25.2,484
6.964044444444446,25.15,485
6.964044444444446,25.09,486
2.7062222222222223,25.03,487
2.7062222222222223,24.96,488
2.7062222222222223,24.89,489
2.5976875,24.83,490
2.5976875,24.76,491
2.5976875,24.7,492
3.0347500000000003,24.64,493
3.0347500000000003,24.57,494
3.0347500000000003,24.51,495
4.727294117647058,24.45,496
4.727294117647058,24.4,497
4.727294117647058,24.34,498
5.673500000000001,24.29,499
5.673500000000001,24.24,500
5.673500000000001,24.18,501
5.115692307692307,24.13,502
5.115692307692307,24.07,503
5.115692307692307,24.02,504
2.7011142857142856,23.96,505
2.7011142857142856,23.9,506
2.7011142857142856,23.84,507
2.4043714285714284,23.78,508
2.4043714285714284,23.72,509
2.4043714285714284,23.66,510
2.287264705882353,23.61,511
2.287264705882353,23.55,512
2.287264705882353,23.49,513
7.701357142857143,23.45,514
7.701357142857143,23.4,515
7.701357142857143,23.36,516
9.253,23.32,517
9.253,23.28,518
9.253,23.24,519
23.449590163934428,23.25,520
23.449590163934428,23.25,521
23.449590163934428,23.25,522
34.96823214285714,23.28,523
34.96823214285714,23.31,524
34.96823214285714,23.34,525
55.745633802816904,23.43,526
55.745633802816904,23.51,527
55.745633802816904,23.6,528
54.61523684210525,23.68,529
54.61523684210525,23.76,530
54.61523684210525,23.84,531
85.0645581395349,24.0,532
85.0645581395349,24.16,533
85.0645581395349,24.32,534
98.92148863636362,24.51,535
98.92148863636362,24.7,536
98.92148863636362,24.89,537
115.2190568181818,25.13,538
115.2190568181818,25.36,539
115.2190568181818,25.59,540
125.80007368421052,25.84,541
125.80007368421052,26.1,542
125.80007368421052,26.35,543
112.10879120879119,26.57,544
112.10879120879119,26.78,545
112.10879120879119,27.0,546
116.41140999999996,27.22,547
116.41140999999996,27.45,548
116.41140999999996,27.67,549
137.36621999999997,27.94,550
137.36621999999997,28.21,551
137.36621999999997,28.49,552
157.20300999999995,28.8,553
157.20300999999995,29.12,554
157.20300999999995,29.44,555
190.76358999999994,29.83,556
190.76358999999994,30.23,557
190.76358999999994,30.62,558
176.27346999999995,30.98,559
176.27346999999995,31.33,560
176.27346999999995,31.68,561
179.82232999999997,32.04,562
179.82232999999997,32.4,563
179.82232999999997,32.75,564
116.45926000000003,32.95,565
116.45926000000003,33.15,566
116.45926000000003,33.35,567
107.78912000000003,33.53,568
107.78912000000003,33.71,569
107.78912000000003,33.88,570
98.88409782608699,34.04,571
98.88409782608699,34.19,572
98.88409782608699,34.34,573
52.039391304347824,34.38,574
52.039391304347824,34.43,575
52.039391304347824,34.47,576
62.26642528735631,34.53,577
62.26642528735631,34.6,578
62.26642528735631,34.66,579
61.52905952380952,34.72,580
61.52905952380952,34.79,581
61.52905952380952,34.85,582
43.50304918032787,34.87,583
43.50304918032787,34.89,584
43.50304918032787,34.91,585
26.801781818181823,34.89,586
26.801781818181823,34.87,587
26.801781818181823,34.85,588
13.982459459459463,34.8,589
13.982459459459463,34.76,590
13.982459459459463,34.71,591
16.599428571428568,34.67,592
16.599428571428568,34.63,593
16.599428571428568,34.59,594
20.116439024390242,34.55,595
20.116439024390242,34.52,596
20.116439024390242,34.49,597
9.987782608695655,34.44,598
9.987782608695655,34.38,599
9.987782608695655,34.33,600
15.643147058823532,34.29,601
15.643147058823532,34.24,602
15.643147058823532,34.2,603
10.695882352941174,34.15,604
10.695882352941174,34.1,605
10.695882352941174,34.05,606
6.860240000000001,33.99,607
6.860240000000001,33.93,608
6.860240000000001,33.87,609
3.4506153846153844,33.81,610
3.4506153846153844,33.74,611
3.4506153846153844,33.68,612
10.306458333333333,33.62,613
10.306458333333333,33.57,614
10.306458333333333,33.52,615
8.330851851851849,33.47,616
8.330851851851849,33.42,617
8.330851851851849,33.36,618
14.330782608695653,33.32,619
14.330782608695653,33.28,620
14.330782608695653,33.24,621
16.832,33.21,622
16.832,33.17,623
16.832,33.14,624
12.419823529411765,33.1,625
12.419823529411765,33.05,626
12.419823529411765,33.01,627
8.6335,32.96,628
8.6335,32.91,629
8.6335,32.86,630
6.4539333333333335,32.8,631
6.4539333333333335,32.75,632
6.4539333333333335,32.69,633
2.3574285714285708,32.63,634
2.3574285714285708,32.57,635
2.3574285714285708,32.51,636
2.236666666666667,32.44,637
2.236666666666667,32.38,638
2.236666666666667,32.32,639
2.52964,32.26,640
2.52964,32.2,641
2.52964,32.14,642
2.6394999999999995,32.08,643
2.6394999999999995,32.02,644
2.6394999999999995,31.96,645
2.4797222222222217,31.9,646
2.4797222222222217,31.84,647
2.4797222222222217,31.78,648
2.6696153846153843,31.73,649
2.6696153846153843,31.67,650
2.6696153846153843,31.61,651
2.4694615384615384,31.55,652
2.4694615384615384,31.49,653
2.4694615384615384,31.44,654
2.8125,31.38,655
2.8125,31.32,656
2.8125,31.27,657
2.3971578947368415,31.21,658
2.3971578947368415,31.15,659
2.3971578947368415,31.1,660
5.962761904761905,31.05,661
5.962761904761905,31.0,662
5.962761904761905,30.95,663
5.695818181818182,30.9,664
5.695818181818182,30.85,665
5.695818181818182,30.81,666
9.4535625,30.76,667
9.4535625,30.72,668
9.4535625,30.68,669
4.0695000000000014,30.63,670
4.0695000000000014,30.58,671
4.0695000000000014,30.53,672
7.712650000000001,30.49,673
7.712650000000001,30.44,674
7.712650000000001,30.4,675
7.092272727272726,30.36,676
